City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,78.3,moderate rain,-23.1203,-134.9692,Pension Maro'i
5,Mogadishu,SO,75.29,scattered clouds,2.0371,45.3438,Hotel Juba
9,Hobart,AU,79.0,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
17,Mataura,NZ,76.17,overcast clouds,-46.1927,168.8643,Ellie's Villa
18,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
19,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Puerto Ayora,EC,75.0,moderate rain,-0.7393,-90.3518,Castillo Galapagos
25,Port Blair,IN,82.06,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
30,Hervey Bay,AU,88.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
33,Carnarvon,AU,84.2,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
35,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
40,Belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
45,Caravelas,BR,79.97,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
47,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Monaragala,LK,75.2,scattered clouds,6.8714,81.3487,Silanrich Hotel
58,Cockburn Town,TC,77.05,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
64,Koumac,NC,82.27,few clouds,-20.5667,164.2833,Le Monitel
68,San Policarpo,PH,83.08,scattered clouds,12.1791,125.5072,JM Lodge
72,Atuona,PF,79.57,light rain,-9.8,-139.0333,Villa Enata
75,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
80,Fare,PF,81.32,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
90,Jeremie,HT,76.93,few clouds,18.65,-74.1167,Auberge’Inn
94,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
96,Butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
112,Karratha,AU,83.77,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
113,Faanui,PF,81.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Takoradi,GH,79.11,overcast clouds,4.8845,-1.7554,Raybow International Hotel
121,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
127,Mackay,AU,87.01,scattered clouds,-21.15,149.2,International Lodge Motel
129,New Norfolk,AU,79.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
132,Mareeba,AU,87.8,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
136,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
