City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Richards Bay,ZA,-28.783,32.0377,74.53,89,93,2.28,overcast clouds
1,Chuy,UY,-33.6971,-53.4616,59.11,89,0,5.3,clear sky
2,Nikolskoye,RU,59.7035,30.7861,12.0,85,75,13.42,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,78.3,72,21,13.47,moderate rain
4,Castro,BR,-24.7911,-50.0119,56.55,72,0,2.57,clear sky
5,Mogadishu,SO,2.0371,45.3438,75.29,82,43,15.99,scattered clouds
6,Esperance,AU,-33.8667,121.9,62.6,82,75,10.36,broken clouds
7,Ati,TD,13.2154,18.3353,62.47,29,2,13.11,clear sky
8,Ushuaia,AR,-54.8,-68.3,46.4,76,40,27.63,scattered clouds
9,Hobart,AU,-42.8794,147.3294,79.0,41,40,17.27,scattered clouds
10,Qinhuangdao,CN,39.9317,119.5883,42.42,59,0,4.54,clear sky
11,Saint-Francois,FR,46.4154,3.9054,45.0,100,90,2.3,fog
12,Punta Arenas,CL,-53.15,-70.9167,46.4,66,40,8.05,scattered clouds
13,Thompson,CA,55.7435,-97.8558,-22.0,69,40,13.8,snow
14,Mongu,ZM,-15.2484,23.1274,67.91,89,97,2.84,overcast clouds
15,Jamestown,US,42.097,-79.2353,23.0,73,90,20.71,light snow
16,Bandarbeyla,SO,9.4942,50.8122,72.12,74,10,8.14,clear sky
17,Mataura,NZ,-46.1927,168.8643,76.17,47,88,4.94,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,78.8,83,75,10.36,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,20,8.05,light rain
20,Puqi,CN,29.7167,113.8833,55.8,68,0,1.21,clear sky
21,Guane,CU,22.2025,-84.0875,71.15,91,22,8.23,few clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,75.0,97,36,4.0,moderate rain
23,Fairbanks,US,64.8378,-147.7164,-7.6,77,90,3.44,overcast clouds
24,Albany,US,42.6001,-73.9662,35.01,59,51,8.9,broken clouds
25,Port Blair,IN,11.6667,92.75,82.06,67,0,11.52,clear sky
26,Saskylakh,RU,71.9167,114.0833,-33.65,83,73,3.6,broken clouds
27,Aksu,CN,41.1231,80.2644,29.46,79,64,2.84,broken clouds
28,Longyearbyen,SJ,78.2186,15.6401,23.0,80,75,4.61,broken clouds
29,Talakan,RU,50.3167,130.3667,-9.13,84,88,5.32,overcast clouds
30,Hervey Bay,AU,-25.2986,152.8535,88.0,45,40,8.05,scattered clouds
31,Antalaha,MG,-14.9003,50.2788,73.31,88,55,4.94,broken clouds
32,Mangaldai,IN,26.4333,92.0333,59.0,72,40,6.26,mist
33,Carnarvon,AU,-24.8667,113.6333,84.2,100,90,25.32,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,-3.48,77,100,7.31,overcast clouds
35,Padang,ID,-0.9492,100.3543,86.0,62,20,2.3,few clouds
36,Mar Del Plata,AR,-38.0023,-57.5575,71.01,61,0,11.99,clear sky
37,Shitkino,RU,56.3703,98.3543,6.85,94,97,4.12,overcast clouds
38,Nome,US,64.5011,-165.4064,17.6,79,90,25.32,light snow
39,Cape Town,ZA,-33.9258,18.4232,68.0,88,0,17.27,clear sky
40,Belmonte,BR,-15.8631,-38.8828,78.8,83,40,6.91,scattered clouds
41,Tilichiki,RU,60.4667,166.1,9.1,96,100,9.37,overcast clouds
42,Cherskiy,RU,68.75,161.3,-9.87,80,54,1.74,broken clouds
43,Saint Anthony,US,45.0205,-93.218,6.8,61,1,13.8,clear sky
44,Korla,CN,41.7597,86.1469,31.84,77,95,1.88,overcast clouds
